Régions,Sexe,Milieu,AgeRange,Population,,
Gouvernorat de Bizerte,Masculin,Communal,15-19 ans,14337,,
Gouvernorat de Bizerte,Masculin,Communal,20-29 ans,28755,,
Gouvernorat de Bizerte,Masculin,Rural,5-9  ans,7858,,
Gouvernorat de Bizerte,Masculin,Rural,10-14 ans,7546,,
Gouvernorat de Bizerte,Masculin,Rural,15-19 ans,8009,,
Gouvernorat de Bizerte,Masculin,Rural,20-29 ans,16613,,
Gouvernorat de Bizerte,Féminin,Communal,5-9  ans,13582,,
Gouvernorat de Bizerte,Féminin,Communal,10-14 ans,12784,,
Gouvernorat de Bizerte,Féminin,Communal,15-19 ans,13917,,
Gouvernorat de Bizerte,Féminin,Communal,20-29 ans,30646,,
Gouvernorat de Bizerte,Féminin,Rural,5-9  ans,7134,,
Gouvernorat de Bizerte,Féminin,Rural,10-14 ans,6910,,
Gouvernorat de Bizerte,Féminin,Rural,15-19 ans,7423,,
Gouvernorat de Bizerte,Féminin,Rural,20-29 ans,15437,,
Gouvernorat de Bèja,Masculin,Communal,5-9  ans,5045,,
Gouvernorat de Bèja,Masculin,Communal,10-14 ans,4802,,
Gouvernorat de Bèja,Masculin,Communal,15-19 ans,4959,,
Gouvernorat de Bèja,Masculin,Communal,20-29 ans,9748,,
Gouvernorat de Bèja,Masculin,Rural,5-9  ans,6244,,
Gouvernorat de Bèja,Masculin,Rural,10-14 ans,6359,,
Gouvernorat de Bèja,Masculin,Rural,15-19 ans,6674,,
Gouvernorat de Bèja,Masculin,Rural,20-29 ans,12784,,
Gouvernorat de Bèja,Féminin,Communal,5-9  ans,4611,,
Gouvernorat de Bèja,Féminin,Communal,10-14 ans,4602,,
Gouvernorat de Bèja,Féminin,Communal,15-19 ans,4932,,
Gouvernorat de Bèja,Féminin,Communal,20-29 ans,10411,,
Gouvernorat de Bèja,Féminin,Rural,5-9  ans,5920,,
Gouvernorat de Bèja,Féminin,Rural,10-14 ans,5868,,
Gouvernorat de Bèja,Féminin,Rural,15-19 ans,6260,,
Gouvernorat de Bèja,Féminin,Rural,20-29 ans,11978,,
Gouvernorat de Jendouba,Masculin,Communal,5-9  ans,4547,,
Gouvernorat de Jendouba,Masculin,Communal,10-14 ans,4326,,
Gouvernorat de Jendouba,Masculin,Communal,15-19 ans,4711,,
Gouvernorat de Jendouba,Masculin,Communal,20-29 ans,8476,,
Gouvernorat de Jendouba,Masculin,Rural,5-9  ans,10442,,
Gouvernorat de Jendouba,Masculin,Rural,10-14 ans,11160,,
Gouvernorat de Jendouba,Masculin,Rural,15-19 ans,11935,,
Gouvernorat de Jendouba,Masculin,Rural,20-29 ans,20308,,
Gouvernorat de Jendouba,Féminin,Communal,5-9  ans,4213,,
Gouvernorat de Jendouba,Féminin,Communal,10-14 ans,4068,,
Gouvernorat de Jendouba,Féminin,Communal,15-19 ans,4493,,
Gouvernorat de Jendouba,Féminin,Communal,20-29 ans,9484,,
Gouvernorat de Jendouba,Féminin,Rural,5-9  ans,9713,,
Gouvernorat de Jendouba,Féminin,Rural,10-14 ans,10254,,
Gouvernorat de Jendouba,Féminin,Rural,15-19 ans,11968,,
Gouvernorat de Jendouba,Féminin,Rural,20-29 ans,21318,,
Gouvernorat du Kef,Masculin,Communal,5-9  ans,4934,,
Gouvernorat du Kef,Masculin,Communal,10-14 ans,4900,,
Gouvernorat du Kef,Masculin,Communal,15-19 ans,5475,,
Gouvernorat du Kef,Masculin,Communal,20-29 ans,10302,,
