Régions,Milieu,Sexe,AgeRange,PopulationScolore,,
Gouvernorat de Monastir,Communal,Féminin,6-9,17108,,
Gouvernorat de Monastir,Communal,Féminin,10-14,20041,,
Gouvernorat de Monastir,Non communal,Masculin,6-9,0,,
Gouvernorat de Monastir,Non communal,Masculin,10-14,0,,
Gouvernorat de Monastir,Non communal,Féminin,6-9,0,,
Gouvernorat de Monastir,Non communal,Féminin,10-14,0,,
Gouvernorat de Mahdia,Communal,Masculin,6-9,6346,,
Gouvernorat de Mahdia,Communal,Masculin,10-14,7475,,
Gouvernorat de Mahdia,Communal,Féminin,6-9,6106,,
Gouvernorat de Mahdia,Communal,Féminin,10-14,7371,,
Gouvernorat de Mahdia,Non communal,Masculin,6-9,8381,,
Gouvernorat de Mahdia,Non communal,Masculin,10-14,8499,,
Gouvernorat de Mahdia,Non communal,Féminin,6-9,7379,,
Gouvernorat de Mahdia,Non communal,Féminin,10-14,8256,,
Gouvernorat de Sfax,Communal,Masculin,6-9,17261,,
Gouvernorat de Sfax,Communal,Masculin,10-14,20577,,
Gouvernorat de Sfax,Communal,Féminin,6-9,16649,,
Gouvernorat de Sfax,Communal,Féminin,10-14,19125,,
Gouvernorat de Sfax,Non communal,Masculin,6-9,11435,,
Gouvernorat de Sfax,Non communal,Masculin,10-14,12107,,
Gouvernorat de Sfax,Non communal,Féminin,6-9,10899,,
Gouvernorat de Sfax,Non communal,Féminin,10-14,11105,,
Gouvernorat de Kairouan,Communal,Masculin,6-9,6664,,
Gouvernorat de Kairouan,Communal,Masculin,10-14,7547,,
Gouvernorat de Kairouan,Communal,Féminin,6-9,6220,,
Gouvernorat de Kairouan,Communal,Féminin,10-14,7165,,
Gouvernorat de Kairouan,Non communal,Masculin,6-9,12465,,
Gouvernorat de Kairouan,Non communal,Masculin,10-14,13491,,
Gouvernorat de Kairouan,Non communal,Féminin,6-9,11523,,
Gouvernorat de Kairouan,Non communal,Féminin,10-14,12877,,
Gouvernorat de Kasserine,Communal,Masculin,6-9,5699,,
Gouvernorat de Kasserine,Communal,Masculin,10-14,7290,,
Gouvernorat de Kasserine,Communal,Féminin,6-9,5834,,
Gouvernorat de Kasserine,Communal,Féminin,10-14,7314,,
