"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27683359","Zaouiet Djedidi","زاوية الجديدي","Zaouiet Djedidi","","1563","Délégation de Beni Khalled"
"27683369","Kobba El Kebira","القبة الكبيرة","Kobba El Kebira","","1563","Délégation de Beni Khalled"
"27683379","Bir Drassen","بئر دراسن","Bir Drassen","","1563","Délégation de Beni Khalled"
"27683389","Bni Khaled Echarkya","بني خلاد الشرقية","Bni Khaled Echarkya","","1563","Délégation de Beni Khalled"
"1564","Delegation of Grombalia","معتمدية  قرمبالية","Délégation de Grombalia","","15","Gouvernorat de Nabeul"
"27683399","Fondouk Djedid","فندق الجديد","Fondouk Djedid","","1564","Délégation de Grombalia"
"27683409","Chammes","شماس","Chammes","","1564","Délégation de Grombalia"
"27683419","Nianou","نيانو","Nianou","","1564","Délégation de Grombalia"
"27683429","Turki","تركي","Turki","","1564","Délégation de Grombalia"
"27683439","Khanguet EL Hojjej","خنقة الحجاج","Khanguet EL Hojjej","","1564","Délégation de Grombalia"
"27683449","Grombalia Est","قرنبالية الشرقية","Grombalia Est","","1564","Délégation de Grombalia"
"27683459","Grombalia Ouest","قرنبالية الغربية","Grombalia Ouest","","1564","Délégation de Grombalia"
"27683469","Djebel Terif","جبل طريف","Djebel Terif","","1564","Délégation de Grombalia"
"27683479","Aïn Tebournouk","عين طبرنق","Aïn Tebournouk","","1564","Délégation de Grombalia"
"1565","Delegation of Bou Argoub","معتمدية  بو عرقوب","Délégation de Bou Argoub","","15","Gouvernorat de Nabeul"
"27683489","Sidi Dhaher","سيدي الظاهر","Sidi Dhaher","","1565","Délégation de Bou Argoub"
"27683499","El Machrouha","المشروحة","El Machrouha","","1565","Délégation de Bou Argoub"
"27683509","Borj Hefaied","برج حفيظ","Borj Hefaied","","1565","Délégation de Bou Argoub"
"27683519","Bou Argoub Nord","بوعرقوب الجوفية","Bou Argoub Nord","","1565","Délégation de Bou Argoub"
"27683529","Bou Argoub Sud","بوعرقوب القبلية","Bou Argoub Sud","","1565","Délégation de Bou Argoub"
"27683539","Belli","بلي","Belli","","1565","Délégation de Bou Argoub"
"27683549","El Kharrouba","الخروبة","El Kharrouba","","1565","Délégation de Bou Argoub"
"1566","Delegation of Hammamet","معتمدية  الحمامات","Délégation de Hammamet","","15","Gouvernorat de Nabeul"
"27683559","Sidi Djedidi","سيدي الجديدي","Sidi Djedidi","","1566","Délégation de Hammamet"
"27683569","Latrach","الأطرش","Latrach","","1566","Délégation de Hammamet"
"27683579","Bir Bou Regba","بئر بورقبة","Bir Bou Regba","","1566","Délégation de Hammamet"
"27683589","Baraket Es-Sahel","براكة الساحل","Baraket Es-Sahel","","1566","Délégation de Hammamet"
"27683599","Hammamet Nord","الحمامات الجوفية","Hammamet Nord","","1566","Délégation de Hammamet"
"27683609","Hammamet Est","الحمامات الشرقية","Hammamet Est","","1566","Délégation de Hammamet"
"27683619","Hammamet Ouest","الحمامات الغربية","Hammamet Ouest","","1566","Délégation de Hammamet"
"27683629","Mrezga","المرازقة","Mrezga","","1566","Délégation de Hammamet"
"27683639","Yasmin hammamet","ياسمين الحمامات","Yasmin hammamet","","1566","Délégation de Hammamet"
"16","Governorate of Zaghouan","ولاية زغوان","Gouvernorat de Zaghouan","TN-22","1","Nord Est"
"1651","Delegation of Zaghouan","معتمدية  زغوان","Délégation de Zaghouan","","16","Gouvernorat de Zaghouan"
"27683649","Zaghouan Ville","زغوان المدينة","Zaghouan Ville","","1651","Délégation de Zaghouan"
"27683659","Zaghouan Nord","زغوان الشمالية","Zaghouan Nord","","1651","Délégation de Zaghouan"
"27683669","Zaghouan Sud","زغوان الجنوبية","Zaghouan Sud","","1651","Délégation de Zaghouan"
"27683679","Bir Halima","بئر حليمة","Bir Halima","","1651","Délégation de Zaghouan"
"27683689","Mograne","مقرن","Mograne","","1651","Délégation de Zaghouan"
"27683699","Jimla","جيملة","Jimla","","1651","Délégation de Zaghouan"
"27683709","El Aïtha","العيثة","El Aïtha","","1651","Délégation de Zaghouan"
"27683719","Oued Erremel","وادي الرمل","Oued Erremel","","1651","Délégation de Zaghouan"
"27683729","Oued Ezzit","وادي الزيت","Oued Ezzit","","1651","Délégation de Zaghouan"
"1652","Delegation of Ez-Zeriba","معتمدية  الزريبة","Délégation de Ez-Zeriba","","16","Gouvernorat de Zaghouan"
"27683739","El Jouf Est","الجوف الشرقية","El Jouf Est","","1652","Délégation de Ez-Zeriba"
"27683749","El Jouf Ouest","الجوف الغربية","El Jouf Ouest","","1652","Délégation de Ez-Zeriba"
"27683759","Ez-Zeriba Hammam Sud","الزريبة الحمام الجنوبية","Ez-Zeriba Hammam Sud","","1652","Délégation de Ez-Zeriba"
"27683769","Ez-Zriba Hammam Nord","الزريبة الحمام الشمالية","Ez-Zriba Hammam Nord","","1652","Délégation de Ez-Zeriba"
"27683779","Ez-Zeriba Village","الزريبة القرية","Ez-Zeriba Village","","1652","Délégation de Ez-Zeriba"
"27683789","Bou Achir","بوعشير","Bou Achir","","1652","Délégation de Ez-Zeriba"
"27683799","Jeradou","جرادو","Jeradou","","1652","Délégation de Ez-Zeriba"
"27683809","Aïn El Batria","عين الباطريية","Aïn El Batria","","1652","Délégation de Ez-Zeriba"
"1653","Delegation of Bir Mchergua","معتمدية  بئر المشارقة","Délégation de Bir Mchergua","","16","Gouvernorat de Zaghouan"
"27683819","Bir M'chergua","بئر مشارقة","Bir M'chergua","","1653","Délégation de Bir Mchergua"
"27683829","Bir M'chergua Gare","بئر مشارقة المحطة","Bir M'chergua Gare","","1653","Délégation de Bir Mchergua"
"27683839","Daleïl El Arous","دلائل العروس","Daleïl El Arous","","1653","Délégation de Bir Mchergua"
"27683849","Smenja","سمنجة","Smenja","","1653","Délégation de Bir Mchergua"
"27683859","jebel Oust","جبل الوسط","jebel Oust","","1653","Délégation de Bir Mchergua"
"27683869","Aïn Essafsaf","عين الصفصاف","Aïn Essafsaf","","1653","Délégation de Bir Mchergua"
"27683879","Boucha","بوشة","Boucha","","1653","Délégation de Bir Mchergua"
"27683889","Aïn Asker","عين عسكر","Aïn Asker","","1653","Délégation de Bir Mchergua"
"1654","Delegation of El Fahs","معتمدية  الفحص","Délégation de El Fahs","","16","Gouvernorat de Zaghouan"
"27683899","Banlieu D'el Fahs","أحواز الفحص","Banlieu D'el Fahs","","1654","Délégation de El Fahs"
"27683909","Jouguar","جوقار","Jouguar","","1654","Délégation de El Fahs"
"27683919","Bir Magra","بئر مقرة","Bir Magra","","1654","Délégation de El Fahs"
"27683929","Oum El Abouab","أم الأبواب","Oum El Abouab","","1654","Délégation de El Fahs"
"27683939","Ouled Ezzouabi","أولاد الزوابي","Ouled Ezzouabi","","1654","Délégation de El Fahs"
"27683949","El Fahs","الفحص","El Fahs","","1654","Délégation de El Fahs"
"27683959","Ed-Droua","الدروع","Ed-Droua","","1654","Délégation de El Fahs"
"27683969","El Ghrifet","الغريفات","El Ghrifet","","1654","Délégation de El Fahs"
"27683979","Bent Saïdane","بنت سعيدان","Bent Saïdane","","1654","Délégation de El Fahs"
"27683989","El Amiem Nord","العمايم الشمالية","El Amiem Nord","","1654","Délégation de El Fahs"
"27683999","El Amiem Sud","العمايم الجنوبية","El Amiem Sud","","1654","Délégation de El Fahs"
"27684009","Oued El Khadhra","وادي الخضراء","Oued El Khadhra","","1654","Délégation de El Fahs"
"27684019","Telil Essalhi","تليل الصالحي","Telil Essalhi","","1654","Délégation de El Fahs"
"1655","Delegation of En-Nadhour","معتمدية  الناظور","Délégation de En-Nadhour","","16","Gouvernorat de Zaghouan"
"27684029","En Nadhour","الناظور","En Nadhour","","1655","Délégation de En-Nadhour"
"27684039","Aïn El Batthoum","عين البطوم","Aïn El Batthoum","","1655","Délégation de En-Nadhour"
"27684049","Saouar","صوار","Saouar","","1655","Délégation de En-Nadhour"
"27684059","Bir Chaouch","بئر الشاوش","Bir Chaouch","","1655","Délégation de En-Nadhour"
"27684069","Sougas","سوغاس","Sougas","","1655","Délégation de En-Nadhour"
"1656","Delegation of Saouaf","معتمدية  صواف","Délégation de Saouaf","","16","Gouvernorat de Zaghouan"
"27684079","Saouef Est","صواف الشرقية","Saouef Est","","1656","Délégation de Saouaf"
"27684089","Saouef Ouest","صواف الغربية","Saouef Ouest","","1656","Délégation de Saouaf"
"27684099","El Hamira","الحميرة","El Hamira","","1656","Délégation de Saouaf"
"27684109","Deghafla Est","الدغافلة الشرقية","Deghafla Est","","1656","Délégation de Saouaf"
"27684119","Deghafla Ouest","الدغافلة الغربية","Deghafla Ouest","","1656","Délégation de Saouaf"
"17","Governorate of Bizerte","ولاية بنزرت","Gouvernorat de Bizerte","TN-23","1","Nord Est"
"1751","Delegation of Bizerte Nord","معتمدية  بنزرت  الشمالية","Délégation de Bizerte Nord","","17","Gouvernorat de Bizerte"
"27684129","Hassen Nouri","حسن النوري","Hassen Nouri","","1751","Délégation de Bizerte Nord"
"27684139","Habib Bouguatfa","الحبيب بوقطفة","Habib Bouguatfa","","1751","Délégation de Bizerte Nord"
"27684149","El Korniche","الكرنيش","El Korniche","","1751","Délégation de Bizerte Nord"
"27684159","La Medina","المدينة","La Medina","","1751","Délégation de Bizerte Nord"
"27684169","Cheik Driss","الشيخ إدريس","Cheik Driss","","1751","Délégation de Bizerte Nord"
"27684179","EL Canal","القنال","EL Canal","","1751","Délégation de Bizerte Nord"
"27684189","Bou Baker Bakir","بوبكر باكير","Bou Baker Bakir","","1751","Délégation de Bizerte Nord"
"27684199","Aïn Mariam","عين مريم","Aïn Mariam","","1751","Délégation de Bizerte Nord"
"27684209","Habib Haddad","الحبيب الحداد","Habib Haddad","","1751","Délégation de Bizerte Nord"
"27684219","El Môtamar","المؤتمر","El Môtamar","","1751","Délégation de Bizerte Nord"
"27684229","El Hana","الهناء","El Hana","","1751","Délégation de Bizerte Nord"
"27684239","15-oct.","15أكتوبر","15-oct.","","1751","Délégation de Bizerte Nord"
"27684249","L'ile de la Gualite","جزيرة جالطة","L'ile de la Gualite","","1751","Délégation de Bizerte Nord"
"1752","Delegation of Zarzouna","معتمدية  جرزونة","Délégation de Zarzouna","","17","Gouvernorat de Bizerte"
"27684259","Zarzouna Ouest","جرزونة الغربية","Zarzouna Ouest","","1752","Délégation de Zarzouna"
"27684269","Zarzouna Est","جرزونة الشرقية","Zarzouna Est","","1752","Délégation de Zarzouna"
"27684279","Zarzouna Nord","جرزونة الشمالية","Zarzouna Nord","","1752","Délégation de Zarzouna"
"27684289","Zarzouna Sud","جرزونة الجنوبية","Zarzouna Sud","","1752","Délégation de Zarzouna"
"1753","Delegation of Bizerte Sud","معتمدية  بنزرت الجنوبية","Délégation de Bizerte Sud","","17","Gouvernorat de Bizerte"
"27684299","Teskraia","تسكراية","Teskraia","","1753","Délégation de Bizerte Sud"
"27684309","Farhat Hached","فرحات حشاد","Farhat Hached","","1753","Délégation de Bizerte Sud"
"27684319","Marnissa","مرنيصة","Marnissa","","1753","Délégation de Bizerte Sud"
"27684329","Hicher","هيشر","Hicher","","1753","Délégation de Bizerte Sud"
"27684339","Sidi Ameur","سيدي عامر","Sidi Ameur","","1753","Délégation de Bizerte Sud"
"27684349","Louata","اللواتة","Louata","","1753","Délégation de Bizerte Sud"
"27684359","Bab Mateur","باب ماطر","Bab Mateur","","1753","Délégation de Bizerte Sud"
"27684369","Cité El Jala","حي الجلاء","Cité El Jala","","1753","Délégation de Bizerte Sud"
"27684379","El Massida","المصيدة","El Massida","","1753","Délégation de Bizerte Sud"
"27684389","Sidi Ahmed","سيدي أحمد","Sidi Ahmed","","1753","Délégation de Bizerte Sud"
"1754","Delegation of Sedjnane","معتمدية  سجنان","Délégation de Sedjnane","","17","Gouvernorat de Bizerte"
"27684399","Sedjnane","سجنان","Sedjnane","","1754","Délégation de Sedjnane"
"27684409","EL Mâalia","المعالية","EL Mâalia","","1754","Délégation de Sedjnane"
"27684419","El Ababssa","العبابسة","El Ababssa","","1754","Délégation de Sedjnane"
"27684429","El Hachachna","الحشاشنة","El Hachachna","","1754","Délégation de Sedjnane"
"27684439","Sehabna","السحابنة","Sehabna","","1754","Délégation de Sedjnane"
"27684449","Sidi Mechrek","سيدي مشرق","Sidi Mechrek","","1754","Délégation de Sedjnane"
"27684459","Amaden","أمادن","Amaden","","1754","Délégation de Sedjnane"
"27684469","Mechargua","المشارقة","Mechargua","","1754","Délégation de Sedjnane"
"1755","Delegation of Djoumine","معتمدية  جومين","Délégation de Djoumine","","17","Gouvernorat de Bizerte"
"27684479","Ouled Ghanem","أولاد غانم","Ouled Ghanem","","1755","Délégation de Djoumine"
"27684489","Essemman","السمان","Essemman","","1755","Délégation de Djoumine"
"27684499","Chenana","الشنانة","Chenana","","1755","Délégation de Djoumine"
"27684509","Tahent","تاهنت","Tahent","","1755","Délégation de Djoumine"
"27684519","Kef Ghrab","كاف غراب","Kef Ghrab","","1755","Délégation de Djoumine"
"27684529","Berraies","بالرايس","Berraies","","1755","Délégation de Djoumine"
"27684539","Touajnia","الطواجنية","Touajnia","","1755","Délégation de Djoumine"
"27684549","Bazina","بازينة","Bazina","","1755","Délégation de Djoumine"
"27684559","Rouaha","رواحة","Rouaha","","1755","Délégation de Djoumine"
"1756","Delegation of Mateur","معتمدية  ماطر","Délégation de Mateur","","17","Gouvernorat de Bizerte"
"27684569","Mateur","ماطر","Mateur","","1756","Délégation de Mateur"
"27684579","Banlieue De Mateur","أحواز ماطر","Banlieue De Mateur","","1756","Délégation de Mateur"
"27684589","Mateur Sud","ماطر الجنوبية","Mateur Sud","","1756","Délégation de Mateur"
"27684599","Cité En Nasr","حي النصر","Cité En Nasr","","1756","Délégation de Mateur"
"27684609","Nefat","نفات","Nefat","","1756","Délégation de Mateur"
"27684619","Cité Essadaka","حي الصداقة","Cité Essadaka","","1756","Délégation de Mateur"
"27684629","Targuellache","ترقلاش","Targuellache","","1756","Délégation de Mateur"
"27684639","Arab Majour","عرب ماجور","Arab Majour","","1756","Délégation de Mateur"
"27684649","Behaya","بهاية","Behaya","","1756","Délégation de Mateur"
"27684659","Boumkhila","بومخيلة","Boumkhila","","1756","Délégation de Mateur"
"1757","Delegation of Ghezala","معتمدية  غزالة","Délégation de Ghezala","","17","Gouvernorat de Bizerte"
"27684669","Ghezala","غزالة","Ghezala","","1757","Délégation de Ghezala"
"27684679","El Arab","العرب","El Arab","","1757","Délégation de Ghezala"
"27684689","Dheouaouda","الذواودة","Dheouaouda","","1757","Délégation de Ghezala"
"27684699","Hached","حشاد","Hached","","1757","Délégation de Ghezala"
"27684709","Ouled El May","أولاد الماي","Ouled El May","","1757","Délégation de Ghezala"
"27684719","Sidi Aïssa","سيدي عيسى","Sidi Aïssa","","1757","Délégation de Ghezala"
"27684729","Rakb","ركب","Rakb","","1757","Délégation de Ghezala"
"27684739","Bou Jerir","بوجرير","Bou Jerir","","1757","Délégation de Ghezala"
"27684749","Sidi Mansour","سيدي منصور","Sidi Mansour","","1757","Délégation de Ghezala"
"1758","Delegation of Menzel Bourguiba","معتمدية  منزل بورقيبة","Délégation de Menzel Bourguiba","","17","Gouvernorat de Bizerte"
"27684759","En-Najah (1)","النجاح (1)","En-Najah (1)","","1758","Délégation de Menzel Bourguiba"
"27684769","Gabtna (1)","قبطنة (1)","Gabtna (1)","","1758","Délégation de Menzel Bourguiba"
"27684779","Gabtna (2)","قبطنة (2)","Gabtna (2)","","1758","Délégation de Menzel Bourguiba"
"27684789","Cite Etthaoura","حي الثورة","Cite Etthaoura","","1758","Délégation de Menzel Bourguiba"
"27684799","En -Najah (2)","النجاح (2)","En -Najah (2)","","1758","Délégation de Menzel Bourguiba"
"27684809","El Medina","المدينة","El Medina","","1758","Délégation de Menzel Bourguiba"
"27684819","Chelagmia","الشلاغمية","Chelagmia","","1758","Délégation de Menzel Bourguiba"
"27684829","Cite Jardins","حي الحدائق","Cite Jardins","","1758","Délégation de Menzel Bourguiba"
"1759","Delegation of Tinja","معتمدية  تينجة","Délégation de Tinja","","17","Gouvernorat de Bizerte"
"27684839","Tinja","تينجة","Tinja","","1759","Délégation de Tinja"
"27684849","Guengla","قنقلة","Guengla","","1759","Délégation de Tinja"
"27684859","Ez-Zarour","الزعرور","Ez-Zarour","","1759","Délégation de Tinja"
"1760","Delegation of Utique","معتمدية  أوتيك","Délégation de Utique","","17","Gouvernorat de Bizerte"
"27684869","Utique","أوتيك","Utique","","1760","Délégation de Utique"
"27684879","Nouvelle Utique","أوتيك الجديدة","Nouvelle Utique","","1760","Délégation de Utique"
"27684889","Besbassia","البسباسية","Besbassia","","1760","Délégation de Utique"
"27684899","El Houidh","الحويض","El Houidh","","1760","Délégation de Utique"
"27684909","EL Mabtouh","المطبوح","EL Mabtouh","","1760","Délégation de Utique"
"27684919","Aïn Ghelal","عين غلال","Aïn Ghelal","","1760","Délégation de Utique"
"27684929","Sidi Othman","سيدي عثمان","Sidi Othman","","1760","Délégation de Utique"
"27684939","Bach Hamba","باش حانبة","Bach Hamba","","1760","Délégation de Utique"
"1761","Delegation of Ghar El Meleh","معتمدية  غار الملح","Délégation de Ghar El Meleh","","17","Gouvernorat de Bizerte"
"27684949","Ghar El Meleh","غار الملح","Ghar El Meleh","","1761","Délégation de Ghar El Meleh"
"27684959","Bajou","باجو","Bajou","","1761","Délégation de Ghar El Meleh"
"27684969","Ousja","عوسجة","Ousja","","1761","Délégation de Ghar El Meleh"
"27684979","Zouaouine","الزواوين","Zouaouine","","1761","Délégation de Ghar El Meleh"
"1762","Delegation of Menzel Djemil","معتمدية  منزل جميل","Délégation de Menzel Djemil","","17","Gouvernorat de Bizerte"
"27684989","Menzel Djemil Est","منزل جميل الشرقية","Menzel Djemil Est","","1762","Délégation de Menzel Djemil"
"27684999","Menzel Djemil Ouest","منزل جميل الغربية","Menzel Djemil Ouest","","1762","Délégation de Menzel Djemil"
"27685009","Menzel Abderrahmen Est","منزل عبد الرحمان الشرقية","Menzel Abderrahmen Est","","1762","Délégation de Menzel Djemil"
"27685019","Menzel Abderrahmen Ouest","منزل عبد الرحمان الغربية","Menzel Abderrahmen Ouest","","1762","Délégation de Menzel Djemil"
"27685029","El Azib","العزيب","El Azib","","1762","Délégation de Menzel Djemil"
"1763","Delegation of El Alia","معتمدية  العالية","Délégation de El Alia","","17","Gouvernorat de Bizerte"
"27685039","Sidi Ali Chabab","سيدي علي الشباب","Sidi Ali Chabab","","1763","Délégation de El Alia"
"27685049","El Alia Nord","العالية الشمالية","El Alia Nord","","1763","Délégation de El Alia"
"27685059","El Alia Sud","العالية الجنوبية","El Alia Sud","","1763","Délégation de El Alia"
"27685069","El Khetmine","الختمين","El Khetmine","","1763","Délégation de El Alia"
"1764","Delegation of Ras Djebel","معتمدية  رأس الجبل","Délégation de Ras Djebel","","17","Gouvernorat de Bizerte"
"27685079","Ras El Djebel Nord","رأس الجبل الشمالية","Ras El Djebel Nord","","1764","Délégation de Ras Djebel"
"27685089","Ras El Djebel Sud","رأس الجبل الجنوبية","Ras El Djebel Sud","","1764","Délégation de Ras Djebel"
"27685099","Metline","الماتلين","Metline","","1764","Délégation de Ras Djebel"
"27685109","Metline Ouest","الماتلين الغربية","Metline Ouest","","1764","Délégation de Ras Djebel"
"27685119","Sounine","صونين","Sounine","","1764","Délégation de Ras Djebel"
"27685129","Rafraf","رفراف","Rafraf","","1764","Délégation de Ras Djebel"
"27685139","El Garia","القرية","El Garia","","1764","Délégation de Ras Djebel"
"2","North West","إقليم الشمال الغربي","Nord Ouest","","0","Tunisie"
"21","Governorate of Beja","ولاية باجة","Gouvernorat de Bèja","TN-31","2","Nord Ouest"
"2151","Delegation of Béja Nord","معتمدية  باجة الشمالية","Délégation de Béja Nord","","21","Gouvernorat de Bèja"
"27685149","Béja","باجة","Béja","","2151","Délégation de Béja Nord"
"27685159","El Mzara","المزارة","El Mzara","","2151","Délégation de Béja Nord"
"27685169","Ksar Bardo","قصر باردو","Ksar Bardo","","2151","Délégation de Béja Nord"
"27685179","Zouabi","الزوابي","Zouabi","","2151","Délégation de Béja Nord"
"27685189","El Manar","المنار","El Manar","","2151","Délégation de Béja Nord"
"27685199","El Kasba","القصبة","El Kasba","","2151","Délégation de Béja Nord"
"27685209","Azra","عزرة","Azra","","2151","Délégation de Béja Nord"
"27685219","El Ghriria","الغيرية","El Ghriria","","2151","Délégation de Béja Nord"
"27685229","El Mounchar","المنشار","El Mounchar","","2151","Délégation de Béja Nord"
"27685239","Ksar Mezouar","قصر مزوار","Ksar Mezouar","","2151","Délégation de Béja Nord"
"27685249","Bou Hzam","بوحزام","Bou Hzam","","2151","Délégation de Béja Nord"
"27685259","En-Nakachia","النقاشية","En-Nakachia","","2151","Délégation de Béja Nord"
"27685269","El Ghraba","الغرابة","El Ghraba","","2151","Délégation de Béja Nord"
"27685279","Aïn Soltane","عين سلطان","Aïn Soltane","","2151","Délégation de Béja Nord"
"2152","Delegation of Béja Sud","معتمدية  باجة الجنوبية","Délégation de Béja Sud","","21","Gouvernorat de Bèja"
"27685289","Sidi Fredj","سيدي فرج","Sidi Fredj","","2152","Délégation de Béja Sud"
"27685299","EL Haouari","الهواري","EL Haouari","","2152","Délégation de Béja Sud"
"27685309","El Mâagoula","المعقولة","El Mâagoula","","2152","Délégation de Béja Sud"
"27685319","Hammam Siala","حمام سيالة","Hammam Siala","","2152","Délégation de Béja Sud"
"27685329","Sidi Smaîl","سيدي إسماعيل","Sidi Smaîl","","2152","Délégation de Béja Sud"
"27685339","Mekhachbia","المخشبية","Mekhachbia","","2152","Délégation de Béja Sud"
"27685349","Sidi Es-Shili","سيدي السهيلي","Sidi Es-Shili","","2152","Délégation de Béja Sud"
"27685359","Zouagha","زواغة","Zouagha","","2152","Délégation de Béja Sud"
"27685369","Mestouta","مستوتة","Mestouta","","2152","Délégation de Béja Sud"
"2153","Delegation of Amdoun","معتمدية  عمدون","Délégation de Amdoun","","21","Gouvernorat de Bèja"
"27685379","Zahret Medien","زهرة مدين","Zahret Medien","","2153","Délégation de Amdoun"
"27685389","Zahret Medien Sud","زهرة مدين الجنوبية","Zahret Medien Sud","","2153","Délégation de Amdoun"
"27685399","El Fraîjia","الفرايجية","El Fraîjia","","2153","Délégation de Amdoun"
"27685409","El Ghorfa","الغرفة","El Ghorfa","","2153","Délégation de Amdoun"
"27685419","Romadhnia","الرماضنية","Romadhnia","","2153","Délégation de Amdoun"
"27685429","Maghraoua","مغراوة","Maghraoua","","2153","Délégation de Amdoun"
"27685439","Sabah","صباح","Sabah","","2153","Délégation de Amdoun"
"27685449","El Mejaless","المجالس","El Mejaless","","2153","Délégation de Amdoun"
"27685459","El Hamra","الحمراء","El Hamra","","2153","Délégation de Amdoun"
"27685469","Ghazia","غزية","Ghazia","","2153","Délégation de Amdoun"
"27685479","Malek","مالك","Malek","","2153","Délégation de Amdoun"
"27685489","Tarhouni","الطرهوني","Tarhouni","","2153","Délégation de Amdoun"
"27685499","El Goussa","القوسة","El Goussa","","2153","Délégation de Amdoun"
"27685509","El Djouza","الجوزة","El Djouza","","2153","Délégation de Amdoun"
"2154","Delegation of Nefza","معتمدية  نفزة","Délégation de Nefza","","21","Gouvernorat de Bèja"
"27685519","Nefza Est","نفزة الشرقية","Nefza Est","","2154","Délégation de Nefza"
"27685529","Nefza Ouest","نفزة الغربية","Nefza Ouest","","2154","Délégation de Nefza"
"27685539","Ouachtata","وشتاتة","Ouachtata","","2154","Délégation de Nefza"
"27685549","Kap Négro","كاب النيقرو","Kap Négro","","2154","Délégation de Nefza"
"27685559","Ezzouarâa","الزوارع","Ezzouarâa","","2154","Délégation de Nefza"
"27685569","Bou-Zenna","بوزنة","Bou-Zenna","","2154","Délégation de Nefza"
"27685579","Maktâa Hadid","مقطع حديد","Maktâa Hadid","","2154","Délégation de Nefza"
"27685589","Bellif","بالليف","Bellif","","2154","Délégation de Nefza"
"27685599","Djebel Ediss","جبل الديس","Djebel Ediss","","2154","Délégation de Nefza"
"27685609","Fatnassa","فطناسة","Fatnassa","","2154","Délégation de Nefza"
"27685619","Ghayadha","غياضة","Ghayadha","","2154","Délégation de Nefza"
"27685629","Zaga","زاقة","Zaga","","2154","Délégation de Nefza"
"27685639","Tebaba","الطبابة","Tebaba","","2154","Délégation de Nefza"
"27685649","Oued El Mâaden","وادي المعدن","Oued El Mâaden","","2154","Délégation de Nefza"
"27685659","Djamila","الجميلة","Djamila","","2154","Délégation de Nefza"
"27685669","Dehiret","الظهيرات","Dehiret","","2154","Délégation de Nefza"
"2155","Delegation of Teboursouk","معتمدية  تبرسق","Délégation de Teboursouk","","21","Gouvernorat de Bèja"
"27685679","Teboursouk Ville","تبرسق المدينة","Teboursouk Ville","","2155","Délégation de Teboursouk"
"27685689","Aïn El Karma","عين الكرمة","Aïn El Karma","","2155","Délégation de Teboursouk"
"27685699","El Menchia","المنشية","El Menchia","","2155","Délégation de Teboursouk"
"27685709","Dougga","دقة","Dougga","","2155","Délégation de Teboursouk"
"27685719","Rihana","ريحانة","Rihana","","2155","Délégation de Teboursouk"
"27685729","Aïn El Melliti","عين المليتي","Aïn El Melliti","","2155","Délégation de Teboursouk"
"27685739","Fadden Es-Souk","فدان السوق","Fadden Es-Souk","","2155","Délégation de Teboursouk"
"27685749","Aïn El Hammam","عين الحمام","Aïn El Hammam","","2155","Délégation de Teboursouk"
"27685759","Aïn Djammala","عين جمالة","Aïn Djammala","","2155","Délégation de Teboursouk"
"27685769","Bir Ettouta","بئر التوتة","Bir Ettouta","","2155","Délégation de Teboursouk"
"2156","Delegation of Tibar","معتمدية  تيبار","Délégation de Tibar","","21","Gouvernorat de Bèja"
"27685779","Tibar","تيبار","Tibar","","2156","Délégation de Tibar"
"27685789","Djebba","دجبة","Djebba","","2156","Délégation de Tibar"
"27685799","Aïn Ed-Defali","عين الدفالي","Aïn Ed-Defali","","2156","Délégation de Tibar"
"27685809","En-Nechima","النشيمة","En-Nechima","","2156","Délégation de Tibar"
"2157","Delegation of Testour","معتمدية  تستور","Délégation de Testour","","21","Gouvernorat de Bèja"
"27685819","Testour","تستور","Testour","","2157","Délégation de Testour"
"27685829","Ibn Zeydoun","إبن زيدون","Ibn Zeydoun","","2157","Délégation de Testour"
"27685839","Cité 26 Février","حي 26 فيفري","Cité 26 Février","","2157","Délégation de Testour"
"27685849","Mezougha","مزوغة","Mezougha","","2157","Délégation de Testour"
"27685859","Zeldou","زلدو","Zeldou","","2157","Délégation de Testour"
"27685869","Ouled Salama","أولاد سلامة","Ouled Salama","","2157","Délégation de Testour"
"27685879","Es-Slouguia","السلوقية","Es-Slouguia","","2157","Délégation de Testour"
"27685889","Aïn Younes","عين يونس","Aïn Younes","","2157","Délégation de Testour"
"27685899","Es-Sekhira","الصخيرة","Es-Sekhira","","2157","Délégation de Testour"
"27685909","Oued Ezzargua","وادي الزرقاء","Oued Ezzargua","","2157","Délégation de Testour"
"27685919","Sidi Abdelaziz","سيدي عبد العزيز","Sidi Abdelaziz","","2157","Délégation de Testour"
"27685929","Sidi Ameur","سيدي عامر","Sidi Ameur","","2157","Délégation de Testour"
"2158","Delegation of Goubellat","معتمدية  قبلاط","Délégation de Goubellat","","21","Gouvernorat de Bèja"
"27685939","Goubellat","قبلاط","Goubellat","","2158","Délégation de Goubellat"
"27685949","El Gammarthi","القمرتي","El Gammarthi","","2158","Délégation de Goubellat"
"27685959","Guerram","قرام","Guerram","","2158","Délégation de Goubellat"
"27685969","Dour Esmail","دور إسماعيل","Dour Esmail","","2158","Délégation de Goubellat"
"27685979","Bir El Euch","بئر العش","Bir El Euch","","2158","Délégation de Goubellat"
"27685989","Kheniguet Ed-Dahane","خنقية الدهان","Kheniguet Ed-Dahane","","2158","Délégation de Goubellat"
