"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27682599","El Battane","البطان","El Battane","","1458","Délégation de El Battane"
"27682609","Borj Ettoumi","برج التومي","Borj Ettoumi","","1458","Délégation de El Battane"
"27682619","Mehrine","المهرين","Mehrine","","1458","Délégation de El Battane"
"27682629","El Aroussia","العروسية","El Aroussia","","1458","Délégation de El Battane"
"15","Governorate of Nabeul","ولاية نابل","Gouvernorat de Nabeul","TN-21","1","Nord Est"
"1551","Delegation of Nabeul","معتمدية  نابل","Délégation de Nabeul","","15","Gouvernorat de Nabeul"
"27682639","El Asouak","الأسواق","El Asouak","","1551","Délégation de Nabeul"
"27682649","Ennour","النور","Ennour","","1551","Délégation de Nabeul"
"27682659","Bir Challouf","بئر شلوف","Bir Challouf","","1551","Délégation de Nabeul"
"27682669","Niapolis","نيابوليس","Niapolis","","1551","Délégation de Nabeul"
"27682679","El Hadayek","الحدائق","El Hadayek","","1551","Délégation de Nabeul"
"27682689","Hedi Chaker","الهادي شاكر","Hedi Chaker","","1551","Délégation de Nabeul"
"1552","Delegation of Dar Châabane El Fehri","معتمدية  دار شعبان الفهري","Délégation de Dar Châabane El Fehri","","15","Gouvernorat de Nabeul"
"27682699","Dar Châabane","دار شعبان","Dar Châabane","","1552","Délégation de Dar Châabane El Fehri"
"27682709","El Fehri","الفهري","El Fehri","","1552","Délégation de Dar Châabane El Fehri"
"27682719","El Frinine","الفرينين","El Frinine","","1552","Délégation de Dar Châabane El Fehri"
"27682729","Amroun","عمرون","Amroun","","1552","Délégation de Dar Châabane El Fehri"
"1553","Delegation of Beni khiar","معتمدية  بني خيار","Délégation de Beni khiar","","15","Gouvernorat de Nabeul"
"27682739","Beni Khiar","بني خيار","Beni Khiar","","1553","Délégation de Beni khiar"
"27682749","Diar Ben Salem","ديار بن سالم","Diar Ben Salem","","1553","Délégation de Beni khiar"
"27682759","El Mâamoura","المعمورة","El Mâamoura","","1553","Délégation de Beni khiar"
"27682769","Somâa","الصمعة","Somâa","","1553","Délégation de Beni khiar"
"27682779","Halfa","حلفاء","Halfa","","1553","Délégation de Beni khiar"
"1554","Delegation of Korba","معتمدية  قربة","Délégation de Korba","","15","Gouvernorat de Nabeul"
"27682789","Beni Ayache","بني عياش","Beni Ayache","","1554","Délégation de Korba"
"27682799","Garâet Sassi","قرعة ساسي","Garâet Sassi","","1554","Délégation de Korba"
